dataset_name,identifier,directory
2018-SmartUnitn2_KGE_2024-None-Proximity,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Position/proximityevent.parquet
2018-SmartUnitn2_KGE_2024-None-Questionnaire,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Synchronic-Interactions/questionnaire.parquet
2018-SmartUnitn2_KGE_2024-None-Relative Humidity,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Environment/relativehumidityevent.parquet
2018-SmartUnitn2_KGE_2024-None-Ring Mode,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/ringmodeevent.parquet
2018-SmartUnitn2_KGE_2024-None-Rotation Vector,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Motion/rotationvectorevent.parquet
2018-SmartUnitn2_KGE_2024-None-Screen,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/screenevent.parquet
2018-SmartUnitn2_KGE_2024-None-Time Diaries,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Diachronic-Interactions/timediariesanswers.parquet
2018-SmartUnitn2_KGE_2024-None-Touch,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Device-usage/touchevent.parquet
2018-SmartUnitn2_KGE_2024-None-Wifi,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Connectivity/wifievent.parquet
2018-SmartUnitn2_KGE_2024-None-Wifi Networks,Unknown,/datascientia_repository/CREP/Collection/2018.04.14-2018.06.06_SmartUnitn2_KGE_2024/Sensors/Connectivity/wifinetworksevent.parquet
2019-QROWD-Trento-Accelerometer,003.AAAC.AAA.AY,
2019-QROWD-Trento-Activities,003.AAAC.AAA.CF,
2019-QROWD-Trento-Gyroscope,003.AAAC.AAA.BB,
2019-QROWD-Trento-Location POI,003.AAAC.AAA.CC,
2019-QROWD-Trento-Location RD,003.AAAC.AAA.CD,
2020-DiversityOne-Amrita-Accelerometer,004.AAAD.AAG.AY,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Motion/accelerometer.parquet
2020-DiversityOne-Amrita-Activities,004.AAAD.AAG.CF,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Motion/activities.parquet
2020-DiversityOne-Amrita-Airplane Mode,004.AAAD.AAG.BS,/datascientia_repository/CREP/Collection/2020.09.28-2021.08.15_Diversity1/v3/Location/Site_Amrita_IN/Sensors/Device-usage/airplanemode.parquet
